url,company,title,location,role,resume_planned,resume_used,status,applied_at,notes
https://rockwellautomation.wd1.myworkdayjobs.com/External_Rockwell_Automation/job/Pune-India/AI-Engineer_R25-9175-1,Rockwell Automation,AI Engineer,Pune India,ai,ai_other,,pending,,
https://visa.wd5.myworkdayjobs.com/Visa/job/IN---Bengaluru-India/Lead-AI-Engineer--Agentic-AI-_REF078189W,Visa,Lead AI Engineer (Agentic AI),Bengaluru India,ai,ai_bengaluru,,pending,,
https://takeda.wd502.myworkdayjobs.com/external/job/ind---bengaluru/senior-ai-engineer_r0175794,Takeda,Senior AI Engineer,Bengaluru India,ai,ai_bengaluru,,pending,,
https://genpact.wd108.myworkdayjobs.com/campussite/job/1401-G-India-1st-floor-Nyati-tech-park-Pune/AI-Engineer-4A_JR10017028-2,Genpact,AI Engineer 4A,Pune India,ai,ai_other,,pending,,
https://hp.wd5.myworkdayjobs.com/externalcareersite/job/Bengaluru-Karntaka-India/Agentic-AI-Engineer_3164655-1,HP,Agentic AI Engineer,Bengaluru India,ai,ai_bengaluru,,pending,,
https://ciena.wd5.myworkdayjobs.com/careers/job/remote--india--gurugram/cloud-platform---ai-engineer_r030459,Ciena,Cloud Platform & AI Engineer,Gurugram India (Remote),ai,ai_other,,pending,,
https://convatec.wd1.myworkdayjobs.com/convatec/job/india---remote/applied-ai-engineer_jr00020781,Convatec,Applied AI Engineer,India (Remote),ai,ai_other,,pending,,
https://ciena.wd5.myworkdayjobs.com/Careers/job/Remote--India--Gurugram/Lead---AI-Engineer_R030598,Ciena,Lead - AI Engineer,Gurugram India (Remote),ai,ai_other,,pending,,
https://dentsuaegis.wd3.myworkdayjobs.com/DAN_GLOBAL/job/DGS-India---Bengaluru---Bhartiya-City-Block-1/AI-Engineer_R1114817-6,Dentsu,AI Engineer,Bengaluru India,ai,ai_bengaluru,,pending,,
https://rocket.wd5.myworkdayjobs.com/rocket_careers/job/Pune-India/AI-Engineer--Entry-level-_R2026-6278,Rocket Software,AI Engineer (Entry level),Pune India,ai,ai_other,,pending,,
https://condenast.wd5.myworkdayjobs.com/CondeCareers/job/MARKSQUARE-Bengaluru-IN/Machine-Learning-Engineer-I_R-22582,Conde Nast,Machine Learning Engineer I,Bengaluru India,ml,mlds_bengaluru,,pending,,
https://condenast.wd5.myworkdayjobs.com/CondeCareers/job/MARKSQUARE-Bengaluru-IN/Machine-Learning-Engineer-II_R-22598,Conde Nast,Machine Learning Engineer II,Bengaluru India,ml,mlds_bengaluru,,pending,,
https://boseallaboutme.wd503.myworkdayjobs.com/Bose_Careers/job/Edge-AI-ML-Engineer_R29046,Bose,Edge AI ML Engineer,Unknown (verify location),ml,mlds_other,,pending,location not in URL - confirm before applying
https://quantiphi.wd1.myworkdayjobs.com/Careers_at_Quantiphi/job/IN-KA-Bengaluru/Machine-learning-Engineer_JR9442,Quantiphi,Machine Learning Engineer,Bengaluru India,ml,mlds_bengaluru,,pending,,
https://chevron.wd5.myworkdayjobs.com/jobs/job/Bengaluru-Karnataka-India/Machine-Learning-Engineer_R000072860,Chevron,Machine Learning Engineer,Bengaluru India,ml,mlds_bengaluru,,pending,,
https://veralto.wd1.myworkdayjobs.com/EskoJobs/job/Bangalore-Karnataka-India/Senior-Machine-Learning-Engineer_R10267942-2,Veralto (Esko),Senior Machine Learning Engineer,Bangalore India,ml,mlds_bengaluru,,pending,,
https://amgen.wd1.myworkdayjobs.com/careers/job/united-states---remote/machine-learning-engineer--ai-studio_r-250796,Amgen,"Machine Learning Engineer, AI Studio",United States (Remote),ml,mlds_other,,pending,US-based - confirm work authorization
https://bah.wd1.myworkdayjobs.com/BAH_Jobs/job/AI-ML-Engineer--Senior_R0246859,Booz Allen Hamilton,"AI/ML Engineer, Senior",United States,ml,mlds_other,,pending,US-based - likely needs clearance/citizenship
https://trimble.wd1.myworkdayjobs.com/TrimbleCareers/job/Data-Scientist_R51147,Trimble,Data Scientist,Chennai India,ds,mlds_other,,pending,
https://hp.wd5.myworkdayjobs.com/ExternalCareerSite/job/Bengaluru-Karnataka-India/Data-Scientist_3159088-1,HP,Data Scientist,Bengaluru India,ds,mlds_bengaluru,,pending,
https://amgen.wd1.myworkdayjobs.com/careers/job/India---Hyderabad/Data-Scientist_R-213834,Amgen,Data Scientist,Hyderabad India,ds,mlds_other,,pending,
https://bdx.wd1.myworkdayjobs.com/EXTERNAL_CAREER_SITE_INDIA/job/Senior-ISC-Data-Scientist_R-539210-1,Becton Dickinson,Senior ISC Data Scientist,India (verify city),ds,mlds_other,,pending,confirm city before applying
https://comcast.wd5.myworkdayjobs.com/Comcast_Careers/job/India---Chennai-Comcast-India-Engineering-Cent/Data-Science-Engineer-3_R429997,Comcast,Data Science Engineer 3,Chennai India,ds,mlds_other,,pending,
https://visa.wd5.myworkdayjobs.com/Visa/job/IN---Bengaluru-India/Data-Scientist_REF082236W,Visa,Data Scientist,Bengaluru India,ds,mlds_bengaluru,,pending,
https://relx.wd3.myworkdayjobs.com/ElsevierJobs/job/IND---India---Home-based/data-Scientist_R109801,Elsevier (RELX),Data Scientist,India (Home-based),ds,mlds_other,,pending,
